id_buku,judul,pengarang,penerbit,tahun_terbit,fakultas_terkait,prodi_terkait,kategori,sinopsis,tags,bahasa,jenis_koleksi,jumlah_halaman,isbn,stok
BK00001,Dasar Pemrograman Berorientasi Objek Edisi Ke-2,"Balidin Dongoran, S.T.",Gramedia Pustaka Utama,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, pengembangan perangkat lunak, serta logika pemrograman. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, pemrograman, java, algoritma",Indonesia,E-book,452,978-0-218-19600-9,9999
BK00002,Pengantar Web Development,Darimin Pradipta,Andi Publisher,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai implementasi kode, pengembangan perangkat lunak, serta logika pemrograman. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","algoritma, coding, struktur data, java",Inggris,Fisik,303,978-0-86379-402-5,5
BK00003,Dasar Web Development,"Lintang Siregar, S.T.",Erlangga,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami pengembangan perangkat lunak, efisiensi algoritma, serta implementasi kode. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","coding, algoritma, pemrograman, python",Indonesia,Fisik,160,978-0-511-61559-7,3
BK00004,Pemrograman Pemrograman Berorientasi Objek untuk Pemula,Yani Gunawan,Kencana Prenada,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami pengembangan perangkat lunak, implementasi kode, serta algoritma dan struktur data. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","python, kompleksitas, coding, struktur data",Indonesia,Fisik,314,978-0-618-49593-1,4
BK00005,C++: Konsep dan Implementasi,"Betania Gunawan, S.H.",Elex Media Komputindo,2015,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pemecahan masalah komputasional, implementasi kode, serta algoritma dan struktur data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","java, coding, algoritma, python",Inggris,Fisik,449,978-0-316-47525-9,7
BK00006,Algoritma dan Java Edisi Ke-3,Fathonah Winarsih,Salemba Empat,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang logika pemrograman, pengembangan perangkat lunak, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","coding, pemrograman, java, python",Indonesia,E-book,336,978-0-928327-64-9,9999
BK00007,Pemrograman Logika Pemrograman untuk Pemula,"Malik Puspita, S.H.",Informatika Bandung,2014,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari pengembangan perangkat lunak, efisiensi algoritma, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","pemrograman, kompleksitas, algoritma, logika komputasi",Indonesia,Fisik,121,978-0-305-64139-9,4
BK00008,Belajar Python dari Nol,"Iriana Prabowo, M.Kom., Syahrini Haryanti",Gramedia Pustaka Utama,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, pengembangan perangkat lunak, serta algoritma dan struktur data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","java, struktur data, python, coding",Indonesia,Fisik,545,978-1-238-84969-2,4
BK00009,Dasar Algoritma,Karen Prasetya,Alfabeta,2010,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang efisiensi algoritma, logika pemrograman, serta pengembangan perangkat lunak. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, logika komputasi, java, algoritma",Inggris,Fisik,396,978-1-101-22691-9,3
BK00010,Pemrograman C++ untuk Pemula,Kezia Riyanti,Andi Publisher,2005,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami implementasi kode, algoritma dan struktur data, serta logika pemrograman. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","struktur data, kompleksitas, coding, algoritma",Indonesia,Fisik,154,978-1-80184-514-4,0
BK00011,Dasar Algoritma,Endah Hasanah,Rajawali Pers,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang pemecahan masalah komputasional, logika pemrograman, serta pengembangan perangkat lunak. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","python, logika komputasi, pemrograman, coding",Inggris,Fisik,336,978-1-82814-893-8,6
BK00012,Struktur Data: Konsep dan Implementasi,Hardi Marpaung,Salemba Empat,2019,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, logika pemrograman, serta efisiensi algoritma. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, algoritma, java, python",Inggris,Fisik,262,978-1-70154-303-4,7
BK00013,Dasar Web Development,Puti Chelsea Laksita,Pustaka Pelajar,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, pengembangan perangkat lunak, serta logika pemrograman. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","struktur data, algoritma, logika komputasi, pemrograman",Indonesia,Fisik,150,978-0-278-24896-0,2
BK00014,Dasar Logika Pemrograman,Wisnu Namaga,Erlangga,2011,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pengembangan perangkat lunak, pemecahan masalah komputasional, serta logika pemrograman. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","kompleksitas, python, java, pemrograman",Indonesia,E-book,280,978-1-65787-133-5,9999
