,id_buku,judul,pengarang,penerbit,tahun_terbit,fakultas_terkait,prodi_terkait,kategori,sinopsis,tags,bahasa,jenis_koleksi,jumlah_halaman,isbn,stok,content_soup,content_soup_clean
0,BK00001,Dasar Pemrograman Berorientasi Objek Edisi Ke-2,"Balidin Dongoran, S.T.",Gramedia Pustaka Utama,2024,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, pengembangan perangkat lunak, serta logika pemrograman. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, pemrograman, java, algoritma",Indonesia,E-book,452,978-0-218-19600-9,9999,"Dasar Pemrograman Berorientasi Objek Edisi Ke-2 Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai algoritma dan struktur data, pengembangan perangkat lunak, serta logika pemrograman. Membantu pembaca membangun pemahaman konseptual maupun praktis. Balidin Dongoran, S.T. struktur data, pemrograman, java, algoritma struktur data, pemrograman, java, algoritma",dasar pemrograman orientasi objek edisi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif algoritma struktur data kembang perangkat lunak logika pemrograman bantu baca bangun paham konseptual praktis balidin dongoran struktur data pemrograman java algoritma struktur data pemrograman java algoritma
1,BK00002,Pengantar Web Development,Darimin Pradipta,Andi Publisher,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai implementasi kode, pengembangan perangkat lunak, serta logika pemrograman. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","algoritma, coding, struktur data, java",Inggris,Fisik,303,978-0-86379-402-5,5,"Pengantar Web Development Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai implementasi kode, pengembangan perangkat lunak, serta logika pemrograman. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik. Darimin Pradipta algoritma, coding, struktur data, java algoritma, coding, struktur data, java",antar web development pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif implementasi kode kembang perangkat lunak logika pemrograman susun bahasa mudah paham kalang akademik darimin pradipta algoritma coding struktur data java algoritma coding struktur data java
2,BK00003,Dasar Web Development,"Lintang Siregar, S.T.",Erlangga,2007,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami pengembangan perangkat lunak, efisiensi algoritma, serta implementasi kode. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","coding, algoritma, pemrograman, python",Indonesia,Fisik,160,978-0-511-61559-7,3,"Dasar Web Development Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini dirancang sebagai panduan untuk memahami pengembangan perangkat lunak, efisiensi algoritma, serta implementasi kode. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan. Lintang Siregar, S.T. coding, algoritma, pemrograman, python coding, algoritma, pemrograman, python",dasar web development pemrograman algoritma pemrograman algoritma pemrograman algoritma buku rancang pandu paham kembang perangkat lunak efisiensi algoritma implementasi kode lengkap contoh studi lapang relevan lintang siregar coding algoritma pemrograman python coding algoritma pemrograman python
3,BK00004,Pemrograman Pemrograman Berorientasi Objek untuk Pemula,Yani Gunawan,Kencana Prenada,2022,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami pengembangan perangkat lunak, implementasi kode, serta algoritma dan struktur data. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","python, kompleksitas, coding, struktur data",Indonesia,Fisik,314,978-0-618-49593-1,4,"Pemrograman Pemrograman Berorientasi Objek untuk Pemula Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini dirancang sebagai panduan untuk memahami pengembangan perangkat lunak, implementasi kode, serta algoritma dan struktur data. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan. Yani Gunawan python, kompleksitas, coding, struktur data python, kompleksitas, coding, struktur data",pemrograman pemrograman orientasi objek mula pemrograman algoritma pemrograman algoritma pemrograman algoritma buku rancang pandu paham kembang perangkat lunak implementasi kode algoritma struktur data lengkap contoh studi lapang relevan yani gunawan python kompleksitas coding struktur data python kompleksitas coding struktur data
4,BK00005,C++: Konsep dan Implementasi,"Betania Gunawan, S.H.",Elex Media Komputindo,2015,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini menyajikan kajian komprehensif mengenai pemecahan masalah komputasional, implementasi kode, serta algoritma dan struktur data. Membantu pembaca membangun pemahaman konseptual maupun praktis.","java, coding, algoritma, python",Inggris,Fisik,449,978-0-316-47525-9,7,"C++: Konsep dan Implementasi Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini menyajikan kajian komprehensif mengenai pemecahan masalah komputasional, implementasi kode, serta algoritma dan struktur data. Membantu pembaca membangun pemahaman konseptual maupun praktis. Betania Gunawan, S.H. java, coding, algoritma, python java, coding, algoritma, python",konsep implementasi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku saji kaji komprehensif pecah komputasional implementasi kode algoritma struktur data bantu baca bangun paham konseptual praktis betania gunawan java coding algoritma python java coding algoritma python
5,BK00006,Algoritma dan Java Edisi Ke-3,Fathonah Winarsih,Salemba Empat,2008,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini membahas secara mendalam tentang logika pemrograman, pengembangan perangkat lunak, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","coding, pemrograman, java, python",Indonesia,E-book,336,978-0-928327-64-9,9999,"Algoritma dan Java Edisi Ke-3 Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini membahas secara mendalam tentang logika pemrograman, pengembangan perangkat lunak, serta pemecahan masalah komputasional. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi. Fathonah Winarsih coding, pemrograman, java, python coding, pemrograman, java, python",algoritma java edisi pemrograman algoritma pemrograman algoritma pemrograman algoritma buku bahas dalam logika pemrograman kembang perangkat lunak pecah komputasional cocok referensi utama mahasiswa praktisi fathonah winarsih coding pemrograman java python coding pemrograman java python
6,BK00007,Pemrograman Logika Pemrograman untuk Pemula,"Malik Puspita, S.H.",Informatika Bandung,2014,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini mengulas berbagai aspek penting dari pengembangan perangkat lunak, efisiensi algoritma, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","pemrograman, kompleksitas, algoritma, logika komputasi",Indonesia,Fisik,121,978-0-305-64139-9,4,"Pemrograman Logika Pemrograman untuk Pemula Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini mengulas berbagai aspek penting dari pengembangan perangkat lunak, efisiensi algoritma, serta implementasi kode. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi. Malik Puspita, S.H. pemrograman, kompleksitas, algoritma, logika komputasi pemrograman, kompleksitas, algoritma, logika komputasi",pemrograman logika pemrograman mula pemrograman algoritma pemrograman algoritma pemrograman algoritma buku ulas aspek kembang perangkat lunak efisiensi algoritma implementasi kode cocok referensi utama mahasiswa praktisi malik puspita pemrograman kompleksitas algoritma logika komputasi pemrograman kompleksitas algoritma logika komputasi
7,BK00008,Belajar Python dari Nol,"Iriana Prabowo, M.Kom., Syahrini Haryanti",Gramedia Pustaka Utama,2020,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, pengembangan perangkat lunak, serta algoritma dan struktur data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","java, struktur data, python, coding",Indonesia,Fisik,545,978-1-238-84969-2,4,"Belajar Python dari Nol Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini dirancang sebagai panduan untuk memahami efisiensi algoritma, pengembangan perangkat lunak, serta algoritma dan struktur data. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik. Iriana Prabowo, M.Kom., Syahrini Haryanti java, struktur data, python, coding java, struktur data, python, coding",ajar python nol pemrograman algoritma pemrograman algoritma pemrograman algoritma buku rancang pandu paham efisiensi algoritma kembang perangkat lunak algoritma struktur data susun bahasa mudah paham kalang akademik iriana prabowo kom syahrini haryanti java struktur data python coding java struktur data python coding
8,BK00009,Dasar Algoritma,Karen Prasetya,Alfabeta,2010,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini memberikan pemahaman menyeluruh tentang efisiensi algoritma, logika pemrograman, serta pengembangan perangkat lunak. Membantu pembaca membangun pemahaman konseptual maupun praktis.","struktur data, logika komputasi, java, algoritma",Inggris,Fisik,396,978-1-101-22691-9,3,"Dasar Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini memberikan pemahaman menyeluruh tentang efisiensi algoritma, logika pemrograman, serta pengembangan perangkat lunak. Membantu pembaca membangun pemahaman konseptual maupun praktis. Karen Prasetya struktur data, logika komputasi, java, algoritma struktur data, logika komputasi, java, algoritma",dasar algoritma pemrograman algoritma pemrograman algoritma pemrograman algoritma buku paham efisiensi algoritma logika pemrograman kembang perangkat lunak bantu baca bangun paham konseptual praktis karen prasetya struktur data logika komputasi java algoritma struktur data logika komputasi java algoritma
9,BK00010,Pemrograman C++ untuk Pemula,Kezia Riyanti,Andi Publisher,2005,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Pemrograman & Algoritma,"Buku ini dirancang sebagai panduan untuk memahami implementasi kode, algoritma dan struktur data, serta logika pemrograman. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","struktur data, kompleksitas, coding, algoritma",Indonesia,Fisik,154,978-1-80184-514-4,0,"Pemrograman C++ untuk Pemula Pemrograman & Algoritma Pemrograman & Algoritma Pemrograman & Algoritma Buku ini dirancang sebagai panduan untuk memahami implementasi kode, algoritma dan struktur data, serta logika pemrograman. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan. Kezia Riyanti struktur data, kompleksitas, coding, algoritma struktur data, kompleksitas, coding, algoritma",pemrograman mula pemrograman algoritma pemrograman algoritma pemrograman algoritma buku rancang pandu paham implementasi kode algoritma struktur data logika pemrograman lengkap contoh studi lapang relevan kezia riyanti struktur data kompleksitas coding algoritma struktur data kompleksitas coding algoritma
