,id_transaksi,id_user,id_buku,tanggal_pinjam,tanggal_kembali_rencana,tanggal_kembali_aktual,status,lama_waktu_pinjam(hari),judul,pengarang,penerbit,tahun_terbit,fakultas_terkait,prodi_terkait,kategori,sinopsis,tags,bahasa,jenis_koleksi,jumlah_halaman,isbn,stok
0,TRX000001,USR00267,BK00570,2024-01-30,2024-02-13,2024-02-16,Terlambat,17.0,Pengantar Toksikologi,Puspa Winarno,UI Press,2008,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Farmakologi & Kefarmasian,"Buku ini memberikan pemahaman menyeluruh tentang efek samping dan dosis obat, formulasi sediaan farmasi, serta pelayanan kefarmasian klinis. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","farmakokinetik, toksikologi, formulasi obat, farmakologi",Indonesia,Fisik,234,978-1-183-76064-6,0
1,TRX000011,USR00215,BK01170,2024-07-07,2024-07-21,2024-07-23,Terlambat,16.0,Konsep Psikologi Klinis Modern,Umi Namaga,PT Grasindo,2014,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini dirancang sebagai panduan untuk memahami gangguan psikologis dan penanganannya, perkembangan kepribadian individu, serta intervensi psikoterapi klinis. Cocok digunakan sebagai referensi utama bagi mahasiswa dan praktisi.","psikoterapi, psikologi, perkembangan manusia, kepribadian",Indonesia,Fisik,151,978-0-582-95829-6,7
2,TRX000023,USR00292,BK00600,2024-08-06,2024-08-20,2024-08-21,Terlambat,15.0,Farmasetika Klinis Edisi Ke-2,"Zaenab Utami, Drs. Fitriani Irawan, S.Pd",Andi Publisher,2018,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Farmakologi & Kefarmasian,"Buku ini membahas secara mendalam tentang interaksi obat dalam tubuh, mekanisme kerja obat, serta efek samping dan dosis obat. Disusun dengan bahasa yang mudah dipahami untuk kalangan akademik.","farmakologi, farmakokinetik, apoteker, kimia farmasi",Indonesia,Fisik,469,978-0-7601-2277-8,8
3,TRX000024,USR00074,BK01226,2025-05-30,2025-06-13,2025-06-16,Terlambat,17.0,Dasar-Dasar Psikologi Perkembangan,"Wirda Suryatmi, Jelita Oktaviani",Pustaka Pelajar,2019,"Fakultas Sosial, Humaniora, & Seni",Psikologi,Psikologi Umum & Klinis,"Buku ini dirancang sebagai panduan untuk memahami perilaku dan proses mental manusia, dinamika interaksi sosial manusia, serta intervensi psikoterapi klinis. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","psikoterapi, psikologi klinis, perkembangan manusia, psikologi",Indonesia,Fisik,324,978-1-5089-1776-2,4
4,TRX000032,USR00127,BK00260,2025-01-23,2025-02-06,2025-02-08,Terlambat,16.0,Konsep Sistem Basis Data,"R. Padmi Nainggolan, Dr. Puput Saragih, S.E.",Deepublish,2021,"Fakultas Sains, Teknologi, & Kesehatan",Informatika,Basis Data,"Buku ini menyajikan kajian komprehensif mengenai normalisasi data, query dan manipulasi data, serta arsitektur data warehouse. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","query, database, sql, nosql",Indonesia,Fisik,459,978-0-10-393087-9,5
5,TRX000034,USR00313,BK00902,2025-04-17,2025-05-01,2025-05-03,Terlambat,16.0,Teknik Motion Graphic,Elvina Rajata,PT Grasindo,2018,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Fotografi & Multimedia,"Buku ini dirancang sebagai panduan untuk memahami produksi konten multimedia digital, desain media interaktif, serta animasi dan motion graphic. Membantu pembaca membangun pemahaman konseptual maupun praktis.","media interaktif, motion graphic, multimedia, editing visual",Indonesia,E-book,448,978-1-72322-903-9,9999
6,TRX000039,USR00183,BK00867,2024-10-24,2024-11-07,2024-11-11,Terlambat,18.0,Kreativitas dalam Desain Multimedia,"Hj. Cici Sitorus, M.Ak",Salemba Empat,2019,"Fakultas Sosial, Humaniora, & Seni",Desain Komunikasi Visual,Fotografi & Multimedia,"Buku ini memberikan pemahaman menyeluruh tentang desain media interaktif, animasi dan motion graphic, serta teknik pengambilan gambar fotografi. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","motion graphic, videografi, multimedia, editing visual",Indonesia,Fisik,450,978-1-9750-1980-8,7
7,TRX000041,USR00172,BK01296,2024-05-25,2024-06-08,2024-06-13,Terlambat,19.0,Media Digital di Era Digital,"Juli Pudjiastuti, Raden Nugroho",Pustaka Pelajar,2023,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Komunikasi & Media,"Buku ini dirancang sebagai panduan untuk memahami pengaruh media sosial terhadap opini publik, strategi media dan publikasi, serta dinamika komunikasi massa. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","public relations, jurnalistik, media sosial, broadcasting",Indonesia,E-book,524,978-1-7323182-9-8,9999
8,TRX000042,USR00103,BK00631,2023-04-17,2023-05-01,2023-05-02,Terlambat,15.0,Pengantar Kimia Farmasi,Aisyah Nuraini,Pustaka Pelajar,2016,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Farmakologi & Kefarmasian,"Buku ini memberikan pemahaman menyeluruh tentang efek samping dan dosis obat, pelayanan kefarmasian klinis, serta formulasi sediaan farmasi. Membantu pembaca membangun pemahaman konseptual maupun praktis.","formulasi obat, apoteker, obat, farmasi klinis",Indonesia,Fisik,232,978-1-4111-8242-4,1
9,TRX000046,USR00050,BK00749,2023-10-29,2023-11-12,2023-11-16,Terlambat,18.0,Panduan Praktik Praktik Klinik Ners Edisi Revisi,"Ella Wahyudin, Gandi Wastuti",Graha Ilmu,2011,"Fakultas Sains, Teknologi, & Kesehatan",Profesi Ners,Keperawatan Profesi Ners,"Buku ini dirancang sebagai panduan untuk memahami residensi dan pembelajaran klinik lanjutan, praktik klinik keperawatan profesional, serta penerapan evidence-based practice. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","evidence based practice, residensi keperawatan, keperawatan komprehensif, praktik klinis ners",Indonesia,E-book,127,978-0-447-44309-7,9999
10,TRX000049,USR00278,BK01260,2025-04-05,2025-04-19,2025-04-24,Terlambat,19.0,Jurnalistik di Era Digital,Jabal Nainggolan,Gramedia Pustaka Utama,2014,"Fakultas Sosial, Humaniora, & Seni",Ilmu Komunikasi,Komunikasi & Media,"Buku ini menyajikan kajian komprehensif mengenai jurnalisme di era digital, hubungan masyarakat dan citra publik, serta strategi media dan publikasi. Dilengkapi dengan contoh kasus dan studi lapangan yang relevan.","public relations, media digital, komunikasi massa, broadcasting",Indonesia,E-book,483,978-1-05-560571-6,9999
11,TRX000051,USR00034,BK00666,2025-01-29,2025-02-12,2025-02-15,Terlambat,17.0,Teknologi Farmasi Komunitas,"drg. Suci Padmasari, Argono Pranowo, S.H.",Bumi Aksara,2006,"Fakultas Sains, Teknologi, & Kesehatan",Farmasi,Teknologi Farmasi & Pelayanan Kefarmasian,"Buku ini memberikan pemahaman menyeluruh tentang manajemen obat dan compounding, pelayanan kefarmasian di rumah sakit, serta teknologi pembuatan sediaan obat. Menjadi rujukan penting dalam perkuliahan dan penelitian terkait.","compounding obat, farmasi rumah sakit, pelayanan kefarmasian, farmasi komunitas",Inggris,Fisik,499,978-1-363-46692-4,1
