,id_transaksi,id_user,id_buku,tanggal_pinjam,tanggal_kembali_rencana,tanggal_kembali_aktual,status,lama_waktu_pinjam(hari)
0,TRX000001,USR00267,BK00570,2024-01-30,2024-02-13,2024-02-16,Terlambat,17.0
1,TRX000002,USR00299,BK00721,2024-10-27,2024-11-10,2024-11-01,Dikembalikan,5.0
2,TRX000003,USR00102,BK00855,2025-02-28,2025-03-14,2025-03-05,Dikembalikan,5.0
3,TRX000004,USR00053,BK01005,2023-05-25,2023-06-08,2023-05-28,Dikembalikan,3.0
4,TRX000005,USR00132,BK00478,2024-07-01,2024-07-15,2024-07-09,Dikembalikan,8.0
5,TRX000006,USR00328,BK00452,2023-03-14,2023-03-28,2023-03-22,Dikembalikan,8.0
6,TRX000007,USR00373,BK00911,2023-12-21,2024-01-04,2023-12-29,Dikembalikan,8.0
7,TRX000008,USR00158,BK00652,2024-05-27,2024-06-10,2024-06-01,Dikembalikan,5.0
8,TRX000009,USR00156,BK00303,2023-02-03,2023-02-17,2023-02-13,Dikembalikan,10.0
9,TRX000010,USR00137,BK00356,2023-11-01,2023-11-15,2023-11-13,Dikembalikan,12.0
10,TRX000011,USR00215,BK01170,2024-07-07,2024-07-21,2024-07-23,Terlambat,16.0
11,TRX000012,USR00203,BK00987,2024-04-16,2024-04-30,2024-04-26,Dikembalikan,10.0
12,TRX000013,USR00225,BK00692,2025-06-12,2025-06-26,2025-06-23,Dikembalikan,11.0
13,TRX000014,USR00223,BK00781,2024-08-12,2024-08-26,2024-08-20,Dikembalikan,8.0
14,TRX000015,USR00086,BK00338,2024-11-06,2024-11-20,2024-11-19,Dikembalikan,13.0
15,TRX000016,USR00156,BK00282,2024-12-12,2024-12-26,2024-12-20,Dikembalikan,8.0
16,TRX000017,USR00038,BK00027,2025-12-07,2025-12-21,2025-12-21,Dikembalikan,14.0
17,TRX000018,USR00174,BK00519,2025-09-09,2025-09-23,2025-09-12,Dikembalikan,3.0
18,TRX000019,USR00115,BK00663,2025-05-14,2025-05-28,2025-05-26,Dikembalikan,12.0
19,TRX000020,USR00039,BK01017,2025-04-09,2025-04-23,2025-04-22,Dikembalikan,13.0
20,TRX000021,USR00349,BK00871,2025-12-07,2025-12-21,2025-12-16,Dikembalikan,9.0
21,TRX000022,USR00372,BK01190,2024-11-27,2024-12-11,2024-12-08,Dikembalikan,11.0
22,TRX000023,USR00292,BK00600,2024-08-06,2024-08-20,2024-08-21,Terlambat,15.0
23,TRX000024,USR00074,BK01226,2025-05-30,2025-06-13,2025-06-16,Terlambat,17.0
24,TRX000025,USR00005,BK01174,2025-04-16,2025-04-30,2025-04-22,Dikembalikan,6.0
25,TRX000026,USR00212,BK00958,2023-04-16,2023-04-30,2023-04-21,Dikembalikan,5.0
26,TRX000027,USR00377,BK00214,2023-06-15,2023-06-29,2023-06-18,Dikembalikan,3.0
27,TRX000028,USR00161,BK00816,2025-07-06,2025-07-20,2025-07-12,Dikembalikan,6.0
28,TRX000029,USR00350,BK01023,2024-10-29,2024-11-12,2024-11-01,Dikembalikan,3.0
29,TRX000030,USR00337,BK01218,2023-02-10,2023-02-24,2023-02-16,Dikembalikan,6.0
30,TRX000031,USR00113,BK00495,2024-02-23,2024-03-08,2024-03-06,Dikembalikan,12.0
31,TRX000032,USR00127,BK00260,2025-01-23,2025-02-06,2025-02-08,Terlambat,16.0
32,TRX000033,USR00285,BK01286,2024-07-23,2024-08-06,2024-08-05,Dikembalikan,13.0
33,TRX000034,USR00313,BK00902,2025-04-17,2025-05-01,2025-05-03,Terlambat,16.0
34,TRX000035,USR00156,BK00313,2025-09-19,2025-10-03,2025-10-02,Dikembalikan,13.0
35,TRX000036,USR00064,BK01222,2024-06-25,2024-07-09,2024-07-03,Dikembalikan,8.0
36,TRX000037,USR00026,BK00734,2023-12-10,2023-12-24,2023-12-23,Dikembalikan,13.0
37,TRX000038,USR00156,BK00276,2023-09-24,2023-10-08,2023-10-07,Dikembalikan,13.0
38,TRX000039,USR00183,BK00867,2024-10-24,2024-11-07,2024-11-11,Terlambat,18.0
39,TRX000040,USR00016,BK01225,2025-11-19,2025-12-03,2025-11-24,Dikembalikan,5.0
40,TRX000041,USR00172,BK01296,2024-05-25,2024-06-08,2024-06-13,Terlambat,19.0
41,TRX000042,USR00103,BK00631,2023-04-17,2023-05-01,2023-05-02,Terlambat,15.0
42,TRX000043,USR00367,BK01160,2023-02-14,2023-02-28,2023-02-19,Dikembalikan,5.0
43,TRX000044,USR00240,BK00638,2024-11-13,2024-11-27,2024-11-18,Dikembalikan,5.0
44,TRX000045,USR00149,BK01047,2023-01-04,2023-01-18,2023-01-16,Dikembalikan,12.0
45,TRX000046,USR00050,BK00749,2023-10-29,2023-11-12,2023-11-16,Terlambat,18.0
46,TRX000047,USR00047,BK00051,2023-04-10,2023-04-24,2023-04-19,Dikembalikan,9.0
47,TRX000048,USR00056,BK01209,2025-05-15,2025-05-29,2025-05-24,Dikembalikan,9.0
48,TRX000049,USR00278,BK01260,2025-04-05,2025-04-19,2025-04-24,Terlambat,19.0
49,TRX000050,USR00109,BK00625,2024-04-21,2024-05-05,2024-04-27,Dikembalikan,6.0
50,TRX000051,USR00034,BK00666,2025-01-29,2025-02-12,2025-02-15,Terlambat,17.0
51,TRX000052,USR00213,BK00415,2025-07-07,2025-07-21,2025-07-17,Dikembalikan,10.0
52,TRX000053,USR00124,BK01233,2024-09-09,2024-09-23,2024-09-20,Dikembalikan,11.0
53,TRX000054,USR00308,BK00071,2023-12-21,2024-01-04,2024-01-06,Terlambat,16.0
54,TRX000055,USR00190,BK00028,2025-06-29,2025-07-13,2025-07-19,Terlambat,20.0
55,TRX000056,USR00349,BK00861,2025-10-12,2025-10-26,2025-10-23,Dikembalikan,11.0
56,TRX000057,USR00343,BK00365,2025-02-05,2025-02-19,2025-02-16,Dikembalikan,11.0
57,TRX000058,USR00220,BK00982,2024-08-07,2024-08-21,2024-08-26,Terlambat,19.0
58,TRX000059,USR00038,BK00632,2024-01-25,2024-02-08,2024-02-11,Terlambat,17.0
59,TRX000060,USR00128,BK01269,2023-02-26,2023-03-12,2023-03-08,Dikembalikan,10.0
60,TRX000061,USR00193,BK01277,2023-02-21,2023-03-07,2023-03-04,Dikembalikan,11.0
61,TRX000062,USR00170,BK00104,2025-05-12,2025-05-26,2025-05-29,Terlambat,17.0
62,TRX000063,USR00066,BK01091,2024-09-02,2024-09-16,2024-09-07,Dikembalikan,5.0
63,TRX000064,USR00276,BK00887,2024-03-01,2024-03-15,2024-03-05,Dikembalikan,4.0
64,TRX000065,USR00153,BK00458,2023-04-06,2023-04-20,2023-04-27,Terlambat,21.0
65,TRX000066,USR00352,BK00885,2025-04-17,2025-05-01,2025-05-01,Dikembalikan,14.0
66,TRX000067,USR00115,BK01088,2024-06-23,2024-07-07,2024-07-06,Dikembalikan,13.0
67,TRX000068,USR00069,BK01328,2025-05-15,2025-05-29,2025-05-29,Dikembalikan,14.0
68,TRX000069,USR00205,BK01044,2023-09-24,2023-10-08,2023-10-10,Terlambat,16.0
69,TRX000070,USR00261,BK00847,2023-01-28,2023-02-11,2023-02-01,Dikembalikan,4.0
70,TRX000071,USR00069,BK00263,2023-06-11,2023-06-25,2023-06-16,Dikembalikan,5.0
71,TRX000072,USR00024,BK01027,2025-05-13,2025-05-27,2025-05-18,Dikembalikan,5.0
72,TRX000073,USR00013,BK01033,2024-10-05,2024-10-19,2024-10-10,Dikembalikan,5.0
